Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","414","Beans, green","2020","2020","7021","Annual value","USD","358","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","191","Chick peas","2020","2020","7021","Annual value","USD","748","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2020","2020","7021","Annual value","USD","904","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2020","2020","7021","Annual value","USD","279","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","406","Garlic","2020","2020","7021","Annual value","USD","1068","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","201","Lentils","2020","2020","7021","Annual value","USD","857","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","56","Maize","2020","2020","7021","Annual value","USD","218","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","403","Onions, dry","2020","2020","7021","Annual value","USD","633","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","27","Rice, paddy","2020","2020","7021","Annual value","USD","359","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","373","Spinach","2020","2020","7021","Annual value","USD","184","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","388","Tomatoes","2020","2020","7021","Annual value","USD","511","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","15","Wheat","2020","2020","7021","Annual value","USD","301","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","44","Barley","2020","2020","7021","Annual value","USD","497","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","176","Beans, dry","2020","2020","7021","Annual value","USD","4473","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2020","2020","7021","Annual value","USD","476","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","191","Chick peas","2020","2020","7021","Annual value","USD","2294","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2020","2020","7021","Annual value","USD","1185","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2020","2020","7021","Annual value","USD","543","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","406","Garlic","2020","2020","7021","Annual value","USD","1568","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","1182","Honey, natural","2020","2020","7021","Annual value","USD","11158","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","201","Lentils","2020","2020","7021","Annual value","USD","3344","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2020","2020","7021","Annual value","USD","518","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","56","Maize","2020","2020","7021","Annual value","USD","857","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","951","Milk, whole fresh buffalo","2020","2020","7021","Annual value","USD","1291","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2020","2020","7021","Annual value","USD","777","","Official data"
