Timestamp,Gender,Location,Age,Qualification_completed,field_of_study,Purpose_for_chilla,Research/Working experience (Float/Int) years,Age (years)-Float/Int,What are you?,Location coordinates (latitude)-Float,Location coordinates (longitude) (float),Blood group ,Which mobile sim do you use,Prepaid or Postpaid,Which PC are you using?,Your Weight in kg? (float),Height in cm? Freelancer- (Float),Do you wear glasses?,When did you write your first line of code?,Your favorite programming language?,Marital Status?,"How many hours you code a day? (int) e.g: 5,4,3",Are you Vaccinated?,Light kitni der band hti hy? int,Where do you live?
1/4/2022 18:02,Male,Pakistan,36-40,Masters,Natural Sciences,to boost my skill set,5,38,Unemplyed,200,100,B+,U-fone,Prepaid,Apna Laptop,77,179,No,>3 years ago,Python,Yes,3,Yes,2,Urbun
1/4/2022 18:02,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,1,25,Student,1.27474774,1.947466474,B+,U-fone,Prepaid,Apna Laptop,53.6,178,No,>3 years ago,Python,No,2,Yes,6,Urbun
1/4/2022 18:03,Male,Pakistan,31-35,Masters,Enginnering,Switch my field of study,5.5,31.34,Employed,24.884055,67.080608,B+,Zong,Prepaid,Apna Laptop,93,173,Yes,>3 years ago,Python,Yes,2,Yes,0,Urbun
1/4/2022 18:03,Female,Pakistan,31-35,Masters,CS/IT,to boost my skill set,5,33,Employed,180,180,O+,U-fone,Postpaid,Apna Laptop,60,157,No,<3 years ago,Python,Yes,3,Yes,Pora din,Urbun
1/4/2022 18:03,Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,3.5,27,Student,31.0831,72.451,A-,Mobilink,Prepaid,Apna Laptop,59.9,164.544,Yes,In this chilla,Javascript,No,6,Yes,12,Rural
1/4/2022 18:03,Male,Pakistan,36-40,Masters,Others,Switch my field of study,15,36,Employed,"24.967922693350182, ",67.12256305,B+,Mobilink,Prepaid,Apna Laptop,99,178,Yes,<3 years ago,Javascript,Yes,1,Yes,0,Urbun
1/4/2022 18:03,Male,Pakistan,21-25,Masters,Enginnering,to boost my skill set,0,0,Student,Nil,Nil,O+,Mobilink,Prepaid,Kisi ka laptop,58,180.34,Yes,In this chilla,Python,No,1,No,2 hours per day,Urbun
1/4/2022 18:03,Male,West,26-30,Bachelors,CS/IT,to boost my skill set,4,27,Student,50.7738464,6.1122471,AB+,International,Prepaid,Apna Laptop,100,187,No,>3 years ago,Python,Yes,3,Yes,0,International
1/4/2022 18:03,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0.5,22.2,Unemplyed,31.5822,74.3292,O+,Zong,Prepaid,Apna Laptop,76.8,1.75,No,>3 years ago,Python,No,3,Yes,0,Rural
1/4/2022 18:03,Male,West,21-25,Bachelors,Natural Sciences,to boost my skill set,0.5,24,Student,63.446827,10.421906,B+,Mobilink,Prepaid,Apna Laptop,84,183,No,<3 years ago,Python,No,3,No,0,International
